#Procedure: <daedalus.procedures.STFMRProcedure.STFMRProcedure>
#Parameters:
#	Magnet Calibration Filename: ./calibrations/icarus
#	DC Bias Current: 0 A
#	Delay: 0.3 s
#	Magnetic Field Azimuthal Angle: 45 deg
#	Magnetic Field Polar Angle: 0 deg
#	End Magnetic Field: 0.2 T
#	Start Magnetic Field: 0 T
#	Magnetic Field Step: 0.0005 T
#	Swap Field: False
#	Time Queued: 09:31am 2019-07-04
#	RF Frequency: 8 GHz
#	RF Power: 23 dBmW
#	Sample Name: test
#	Lockin Sensitivity: 5e-06 V
#	Probe Station Name: Icarus
#	Lockin Time Constant: 0.1 s
#	Use Bias Current: False
#Data:
X,Y,field_strength,elapsed_time
-4.4965e-06,-4.9135e-06,0.2,3.234184980392456
-4.612e-06,-6.941e-06,0.1995,3.722212791442871
-4.6755e-06,-5.098e-06,0.199,4.217241287231445
-4.0905e-06,-4.7735e-06,0.1985,4.666266918182373
-4.661e-06,-5.681e-06,0.198,5.139293909072876
-4.2985e-06,-5.2675e-06,0.1975,5.624321699142456
-3.9305e-06,-6.5435e-06,0.197,6.070347309112549
-3.739e-06,-4.96e-06,0.1965,6.545374393463135
-3.736e-06,-4.883e-06,0.196,7.036402463912964
-4.232e-06,-6.0235e-06,0.1955,7.475427627563477
-4.0465e-06,-5.1435e-06,0.195,7.9554548263549805
-3.161e-06,-5.1185e-06,0.1945,8.435482501983643
-4.354e-06,-5.9535e-06,0.194,8.893508434295654
-5.1775e-06,-5.831e-06,0.1935,9.373535871505737
-3.985e-06,-5.8515e-06,0.193,9.871564388275146
-4.5285e-06,-5.964e-06,0.1925,10.31158971786499
-3.0585e-06,-5.115e-06,0.192,10.793617248535156
-3.3445e-06,-5.8455e-06,0.1915,11.284645318984985
-3.602e-06,-4.7695e-06,0.191,11.723670482635498
-4.0145e-06,-5.521e-06,0.1905,12.174696445465088
-4.2065e-06,-5.9345e-06,0.19,12.645723342895508
-3.244e-06,-4.935e-06,0.1895,13.134751081466675
-3.3625e-06,-5.415e-06,0.189,13.5887770652771
-4.193e-06,-5.8605e-06,0.1885,14.06780457496643
-3.1715e-06,-6.529e-06,0.188,14.556832551956177
-4.2925e-06,-4.6695e-06,0.1875,15.000858068466187
-3.2135e-06,-5.6315e-06,0.187,15.475884914398193
-3.426e-06,-5.746e-06,0.1865,15.954912424087524
-4.267e-06,-6.5145e-06,0.186,16.393937587738037
