#Procedure: <daedalus.procedures.STFMRProcedure.STFMRProcedure>
#Parameters:
#	Magnet Calibration Filename: ./calibrations/icarus
#	DC Bias Current: 0 A
#	Delay: 0.04 s
#	Magnetic Field Azimuthal Angle: 45 deg
#	Magnetic Field Polar Angle: 0 deg
#	End Magnetic Field: 0.2 T
#	Start Magnetic Field: 0 T
#	Magnetic Field Step: 0.0005 T
#	Swap Field: True
#	Time Queued: 09:09am 2019-07-04
#	RF Frequency: 9 GHz
#	RF Power: 15 dBmW
#	Sample Name: test
#	Lockin Sensitivity: 0.0005 V
#	Probe Station Name: Icarus
#	Lockin Time Constant: 0.02 s
#	Use Bias Current: False
#Data:
X,Y,field_strength,elapsed_time
-1.65e-06,-3.5e-07,0.2,4.430006265640259
-1.2e-06,9.5e-07,0.1995,4.690006494522095
1.55e-06,-5.5e-07,0.199,4.960006952285767
1.3e-06,-1.4e-06,0.1985,5.220007419586182
1.05e-06,-2.5e-07,0.198,5.47000789642334
2.5e-07,-1.85e-06,0.1975,5.740008115768433
-1.8e-06,-8.5e-07,0.197,6.0000083446502686
2.5e-07,-1.55e-06,0.1965,6.2600085735321045
1e-06,-2.05e-06,0.196,6.5300092697143555
2.1e-06,-1.5e-06,0.1955,6.7360193729400635
5.5e-07,1.5e-07,0.195,6.932030439376831
6e-07,-1e-06,0.1945,7.120041131973267
1.5e-06,-1.95e-06,0.194,7.315052509307861
4.5e-07,-1.5e-07,0.1935,7.508063554763794
3.35e-06,-2e-07,0.193,7.7030744552612305
2.85e-06,-2.5e-06,0.1925,7.898085832595825
4e-07,1e-06,0.192,8.087096452713013
1.1e-06,-1.2e-06,0.1915,8.285107851028442
5.5e-07,-4e-07,0.191,8.477118968963623
1.6e-06,9.5e-07,0.1905,8.671130180358887
2.15e-06,9.5e-07,0.19,8.860140800476074
1.5e-06,1.2e-06,0.1895,9.04915165901184
4e-07,-5e-07,0.189,9.237162590026855
2e-06,7.5e-07,0.1885,9.425173282623291
9e-07,-1.85e-06,0.188,9.60918378829956
-5e-08,-1.7e-06,0.1875,9.789193868637085
-5e-07,-3.5e-07,0.187,9.987205266952515
5e-07,-1.65e-06,0.1865,10.18221640586853
5e-07,-1.95e-06,0.186,10.377227544784546
9e-07,4e-07,0.1855,10.57123851776123
4.5e-07,-3.45e-06,0.185,10.771250247955322
1.35e-06,-7e-07,0.1845,10.965261220932007
-6e-07,3e-07,0.184,11.168272972106934
4.5e-07,9e-07,0.1835,11.36328387260437
-1.55e-06,-9.5e-07,0.183,11.560295104980469
2.15e-06,-1.65e-06,0.1825,11.75930666923523
3.5e-07,-6e-07,0.182,11.956317901611328
-3.5e-07,-1.3e-06,0.1815,12.167330026626587
0.0,-2.5e-07,0.181,12.371341466903687
2.35e-06,-4e-07,0.1805,12.567352771759033
3.05e-06,-8.5e-07,0.18,12.79036569595337
6e-07,-2e-06,0.1795,12.9953773021698
-1.5e-07,-1.65e-06,0.179,13.205389261245728
-5e-08,-1.8e-06,0.1785,13.392400026321411
-2.3e-06,-1.1e-06,0.178,13.593411445617676
8.5e-07,-1.1e-06,0.1775,13.806423902511597
1.25e-06,1.1e-06,0.177,14.00643539428711
-2e-07,-1.8e-06,0.1765,14.206446647644043
1.25e-06,-5.5e-07,0.176,14.404458045959473
1e-07,-5.5e-07,0.17550000000000002,14.59946894645691
1.5e-06,-3.05e-06,0.17500000000000002,14.799480438232422
1.95e-06,-1.55e-06,0.17450000000000002,15.00349235534668
3.05e-06,-1.15e-06,0.17400000000000002,15.199503421783447
9e-07,-1.95e-06,0.17350000000000002,15.408515214920044
