#Procedure: <daedalus.procedures.AMRProcedure.AMRAngProcedure>
#Parameters:
#	Applied Sample Voltage: 0.01 V
#	Magnet Calibration Filename: ./calibrations/icarus
#	Delay: 0.3 s
#	End Azimuthal Field: 176 deg
#	Start Azimuthal Field: 0 deg
#	Azimuthal Field Step: 5 deg
#	Magnetic Field Polar Angle: 0 deg
#	Field Strength: 0.1 T
#	Time Queued: 12:30pm 2019-07-04
#	Sample Name: CE6_STFMRC3
#	Lockin Sensitivity: 5e-06 V
#	Probe Station Name: Icarus
#	Lockin Time Constant: 0.1 s
#	Wheatstone R1 Fixed Resistance: 3880 Ohm
#	Wheatstone R2 Variable Resistance: 234.51 Ohm
#	Wheatstone R3 Fixed Resistance: 3960 Ohm
#Data:
X,Y,field_azimuth_measured,field_azimuth,elapsed_time
-4.9075e-06,1.3345e-06,-0.007,0.0,30.060042142868042
-4.498e-06,8.125e-07,5.004,5.0,34.758309841156006
-6.4455e-06,1.3665e-06,10.006,10.0,39.45257830619812
-5.019e-06,2.969e-06,15.003,15.0,44.13584613800049
-4.5865e-06,1.163e-06,20.008,20.0,48.75911068916321
-5.2915e-06,1.9875e-06,25.005,25.0,53.46637988090515
-3.988e-06,5.65e-07,30.008,30.0,58.08664393424988
-3.3715e-06,1.9065e-06,35.002,35.0,62.78591275215149
-3.904e-06,2.1005e-06,40.006,40.0,67.49818229675293
-3.754e-06,3.565e-07,45.006,45.0,72.18445038795471
-3.2025e-06,1.267e-06,50.007,50.0,76.88171911239624
-2.527e-06,2.354e-06,55.004,55.0,81.57998776435852
-2.5205e-06,1.543e-06,60.008,60.0,86.27425646781921
-2.874e-06,2.1775e-06,65.007,65.0,90.96852469444275
-2.8335e-06,2.0695e-06,70.008,70.0,95.57678842544556
-2.094e-06,3.2195e-06,75.008,75.0,100.20905327796936
-2.322e-06,2.0205e-06,80.008,80.0,104.8963212966919
-1.1265e-06,2.601e-06,85.007,85.0,109.58458948135376
-1.4785e-06,1.022e-06,90.007,90.0,114.27585792541504
-2.591e-06,2.669e-06,95.007,95.0,118.97912669181824
-1.8895e-06,1.4705e-06,100.008,100.0,123.65739440917969
-1.8905e-06,1.922e-06,105.007,105.0,128.35266304016113
-2.7965e-06,2.3e-06,110.008,110.0,133.05393171310425
-2.8605e-06,1.826e-06,115.007,115.0,137.69419717788696
