#Procedure: <daedalus.procedures.AMRProcedure.AMRAngProcedure>
#Parameters:
#	Applied Sample Voltage: 0.1 V
#	Magnet Calibration Filename: ./calibrations/icarus
#	Delay: 0.3 s
#	End Azimuthal Field: 176 deg
#	Start Azimuthal Field: -173 deg
#	Azimuthal Field Step: 1 deg
#	Magnetic Field Polar Angle: 0 deg
#	Field Strength: 0.1 T
#	Time Queued: 12:40pm 2019-07-04
#	Sample Name: CE6_STFMRC3
#	Lockin Sensitivity: 2e-05 V
#	Probe Station Name: Icarus
#	Lockin Time Constant: 0.1 s
#	Wheatstone R1 Fixed Resistance: 3880 Ohm
#	Wheatstone R2 Variable Resistance: 234.51 Ohm
#	Wheatstone R3 Fixed Resistance: 3960 Ohm
#Data:
X,Y,field_azimuth_measured,field_azimuth,elapsed_time
-6e-05,6.554e-06,-173.009,-173.0,277.01038789749146
-6e-05,7.376e-06,-171.992,-172.0,278.49039006233215
-6e-05,6.968e-06,-170.994,-171.0,279.9703919887543
-6e-05,7.824e-06,-169.992,-170.0,281.44039392471313
-6e-05,8.5e-06,-168.993,-169.0,282.88547444343567
-6e-05,7.746e-06,-167.99,-168.0,284.28655457496643
-6e-05,7.49e-06,-166.991,-167.0,285.70163559913635
-6e-05,7.398e-06,-165.991,-166.0,287.11871671676636
-5.9796e-05,7.992e-06,-164.991,-165.0,288.5387978553772
-5.932e-05,7.386e-06,-163.99,-164.0,289.95687913894653
-5.929e-05,7.75e-06,-162.991,-163.0,291.3769602775574
-5.841e-05,7.482e-06,-161.991,-162.0,292.79304099082947
-5.7776e-05,8.684e-06,-160.991,-161.0,294.20212173461914
-5.7852e-05,7.364e-06,-159.99,-160.0,295.61920285224915
-5.7418e-05,7.872e-06,-158.991,-159.0,297.0342836380005
-5.6916e-05,7.112e-06,-157.991,-158.0,298.4583652019501
-5.5794e-05,7.446e-06,-156.992,-157.0,299.8784465789795
-5.6126e-05,8.73e-06,-155.991,-156.0,301.2995276451111
-5.6026e-05,7.666e-06,-154.992,-155.0,302.7236089706421
