#Procedure: <daedalus.procedures.AMRProcedure.AMRAngProcedure>
#Parameters:
#	Applied Sample Voltage: 0.2 V
#	Magnet Calibration Filename: ./calibrations/icarus
#	Delay: 0.6 s
#	End Azimuthal Field: 173 deg
#	Start Azimuthal Field: -173 deg
#	Azimuthal Field Step: 1 deg
#	Magnetic Field Polar Angle: 0 deg
#	Field Strength: 0.1 T
#	Magnet Calibration Filename: C:\Users\TopMob\daedalus_control\calibrations/icarus
#	Time Queued: 01:48pm 2019-07-03
#	Sample Name: test
#	Lockin Sensitivity: 1e-05 V
#	Probe Station Name: Icarus
#	Lockin Time Constant: 0.2 s
#	Wheatstone R1 Fixed Resistance: 3880 Ohm
#	Wheatstone R2 Variable Resistance: 102.4 Ohm
#	Wheatstone R3 Fixed Resistance: 3960 Ohm
#Data:
X,Y,field_azimuth_measured,field_azimuth,elapsed_time
2.1907e-05,3.901e-06,-173.003,-173.0,77.95345902442932
2.1984e-05,3.344e-06,-171.999,-172.0,79.7095594406128
2.1313e-05,3.445e-06,-170.998,-171.0,81.43265795707703
2.1628e-05,3.181e-06,-170.001,-170.0,83.16475701332092
2.1026e-05,3.125e-06,-169.0,-169.0,84.89585590362549
2.1339e-05,3.152e-06,-167.997,-168.0,86.62395477294922
2.1799e-05,3.593e-06,-166.998,-167.0,88.35005331039429
2.1536e-05,2.958e-06,-165.996,-166.0,90.09315299987793
2.1045e-05,4.29e-06,-164.999,-165.0,91.81525182723999
2.0056e-05,2.865e-06,-163.997,-164.0,93.52534937858582
2.0275e-05,2.89e-06,-162.999,-163.0,95.2474479675293
2.0355e-05,3.388e-06,-161.997,-162.0,96.97554683685303
1.9624e-05,3.133e-06,-160.999,-161.0,98.69364500045776
1.9697e-05,3.103e-06,-159.999,-160.0,100.42074394226074
1.9165e-05,3.566e-06,-158.999,-159.0,102.14884281158447
1.8207e-05,2.26e-06,-157.997,-158.0,103.87394165992737
1.812e-05,3.856e-06,-156.998,-157.0,105.60304021835327
1.8669e-05,3.26e-06,-156.002,-156.0,107.34513998031616
1.7252e-05,3.128e-06,-155.0,-155.0,109.07823896408081
1.7356e-05,3.431e-06,-153.998,-154.0,110.79433727264404
1.7077e-05,3.592e-06,-152.998,-153.0,112.52143597602844
1.6901e-05,2.917e-06,-152.0,-152.0,114.25153493881226
1.6402e-05,3.874e-06,-150.999,-151.0,115.98563408851624
1.5903e-05,2.629e-06,-149.998,-150.0,117.70773267745972
1.5882e-05,3.094e-06,-148.999,-149.0,119.42783117294312
1.6048e-05,3.109e-06,-147.998,-148.0,121.14892959594727
1.4546e-05,3.311e-06,-146.998,-147.0,122.867027759552
1.4477e-05,2.144e-06,-146.0,-146.0,124.5991268157959
1.4163e-05,3.179e-06,-144.999,-145.0,126.31322479248047
1.4598e-05,2.569e-06,-143.998,-144.0,128.0363233089447
1.3552e-05,2.801e-06,-142.998,-143.0,129.7534215450287
1.3245e-05,3.679e-06,-142.0,-142.0,131.48052048683167
1.3062e-05,2.908e-06,-140.999,-141.0,133.2086193561554
1.256e-05,3.16e-06,-139.997,-140.0,134.92471742630005
1.2186e-05,1.865e-06,-138.999,-139.0,136.6538164615631
1.1313e-05,2.626e-06,-137.995,-138.0,138.37991499900818
1.1299e-05,2.945e-06,-136.999,-137.0,140.10401368141174
1.0327e-05,2.227e-06,-135.999,-136.0,141.83711290359497
1.0471e-05,2.285e-06,-135.0,-135.0,143.57021188735962
9.536e-06,2.451e-06,-133.996,-134.0,145.28130984306335
1.0077e-05,2.459e-06,-132.997,-133.0,147.00140810012817
9.361e-06,2.104e-06,-131.996,-132.0,148.72150659561157
8.537e-06,2.419e-06,-130.998,-131.0,150.45560574531555
7.994e-06,2.533e-06,-129.997,-130.0,152.17670392990112
7.08e-06,2.785e-06,-128.998,-129.0,153.90480303764343
6.585e-06,2.437e-06,-128.001,-128.0,155.64490246772766
6.766e-06,2.269e-06,-126.999,-127.0,157.3860023021698
5.884e-06,2.267e-06,-125.998,-126.0,159.1251015663147
5.644e-06,2.43e-06,-124.999,-125.0,160.86620116233826
5.158e-06,2.988e-06,-123.996,-124.0,162.5922999382019
5.438e-06,2.369e-06,-122.996,-123.0,164.30639791488647
4.471e-06,2.679e-06,-121.999,-122.0,166.03049659729004
4.036e-06,2.69e-06,-121.001,-121.0,167.7595956325531
3.567e-06,1.835e-06,-119.998,-120.0,169.491694688797
3.461e-06,2.78e-06,-118.997,-119.0,171.22479367256165
2.76e-06,2.652e-06,-117.996,-118.0,172.9658932685852
2.75e-06,1.621e-06,-116.998,-117.0,174.6949920654297
3.416e-06,2.881e-06,-115.997,-116.0,176.42109084129333
2.311e-06,2.413e-06,-114.997,-115.0,178.14418959617615
2.005e-06,3.022e-06,-113.995,-114.0,179.86228775978088
1.343e-06,1.612e-06,-112.998,-113.0,181.5773856639862
2.14e-06,3.097e-06,-111.999,-112.0,183.28848361968994
1.772e-06,1.754e-06,-110.996,-111.0,185.01558256149292
1.221e-06,2.418e-06,-109.996,-110.0,186.7396810054779
1.745e-06,1.841e-06,-108.999,-109.0,188.45977926254272
-7.3e-08,2.014e-06,-107.996,-108.0,190.1868782043457
1.033e-06,2.854e-06,-106.997,-107.0,191.91797733306885
-3.5e-08,2.283e-06,-105.997,-106.0,193.64807605743408
3.93e-07,2.689e-06,-104.997,-105.0,195.3741750717163
-4.98e-07,2.646e-06,-103.999,-104.0,197.10627388954163
-2.39e-07,1.866e-06,-102.998,-103.0,198.8333728313446
-4.97e-07,2.258e-06,-101.997,-102.0,200.57447218894958
-1.11e-07,2.024e-06,-100.999,-101.0,202.30557131767273
-6.83e-07,1.648e-06,-99.997,-100.0,204.0466709136963
-8.19e-07,1.292e-06,-98.999,-99.0,205.7767698764801
-1.519e-06,3.05e-06,-97.998,-98.0,207.50786900520325
4.32e-07,2.323e-06,-96.999,-97.0,209.23796796798706
-1.48e-06,2.592e-06,-95.998,-96.0,210.96306657791138
-1.361e-06,2.297e-06,-94.999,-95.0,212.68916535377502
-2.85e-07,1.769e-06,-93.997,-94.0,214.41026377677917
-5.5e-07,2.566e-06,-92.999,-93.0,216.1333622932434
-1.153e-06,2.233e-06,-91.997,-92.0,217.84446001052856
-7.5e-07,1.902e-06,-90.999,-91.0,219.5705587863922
-5.57e-07,2.153e-06,-89.997,-90.0,221.29665756225586
-1.168e-06,1.663e-06,-88.997,-89.0,223.0197560787201
-1.047e-06,2.617e-06,-87.998,-88.0,224.74685502052307
-1.99e-06,3.232e-06,-87.0,-87.0,226.47595405578613
-1.205e-06,2.084e-06,-85.998,-86.0,228.20405268669128
-7.01e-07,1.255e-06,-84.998,-85.0,229.9341516494751
-1.139e-06,1.809e-06,-83.996,-84.0,231.65525007247925
-1.5e-07,1.71e-06,-82.998,-83.0,233.37234830856323
3.1e-07,2.285e-06,-81.996,-82.0,235.0914466381073
-4.1e-08,2.094e-06,-80.999,-81.0,236.81154489517212
6.51e-07,2.202e-06,-79.996,-80.0,238.5306432247162
3.4e-07,2.457e-06,-78.998,-79.0,240.26174235343933
4.11e-07,2.821e-06,-77.997,-78.0,241.99884176254272
2.69e-07,1.699e-06,-76.999,-77.0,243.74294137954712
4.24e-07,2.776e-06,-75.998,-76.0,245.47804069519043
8.53e-07,2.408e-06,-74.997,-75.0,247.21614003181458
9.37e-07,1.351e-06,-73.998,-74.0,248.96223998069763
1.859e-06,2.344e-06,-73.0,-73.0,250.6933388710022
1.24e-06,3.314e-06,-71.997,-72.0,252.40443682670593
1.461e-06,2.643e-06,-70.997,-71.0,254.13453602790833
2.844e-06,8.05e-07,-69.996,-70.0,255.85963439941406
1.787e-06,1.569e-06,-68.999,-69.0,257.5887334346771
2.115e-06,2.821e-06,-67.998,-68.0,259.3248324394226
3.268e-06,2.993e-06,-66.998,-67.0,261.0479311943054
