#Procedure: <daedalus.procedures.AMRProcedure.AMRAngProcedure>
#Parameters:
#	Applied Sample Voltage: 0.01 V
#	Delay: 0.3 s
#	End Azimuthal Field: 359 deg
#	Start Azimuthal Field: 0 deg
#	Azimuthal Field Step: 1 deg
#	Magnetic Field Polar Angle: 0 deg
#	Field Strength: 0.08 T
#	Magnet Calibration Filename: C:\Users\RalphGroup\Documents\control_programs\daedalus_control\calibrations/proj_field
#	Time Queued: 06:48pm 2019-05-13
#	Sample Name: refurb_probe_42861_STFMRC3
#	Lockin Sensitivity: 5e-06 V
#	Lockin Time Constant: 0.1 s
#	Wheatstone R1 Fixed Resistance: 1886 Ohm
#	Wheatstone R2 Variable Resistance: 292.85 Ohm
#	Wheatstone R3 Fixed Resistance: 1936 Ohm
#Data:
X,Y,field_azimuth_measured,field_azimuth,elapsed_time
-1.5e-05,-7.32e-07,0.0,0.0,0.34401965141296387
-5.385e-06,-6.295e-07,0.9995,1.0,2.168123960494995
-5.1625e-06,-8.34e-07,1.999,2.0,3.9922282695770264
-4.9415e-06,-4.49e-07,3.0015,3.0,5.816332578659058
-5.038e-06,-5.305e-07,4.0,4.0,7.640437126159668
-4.991e-06,-4.835e-07,5.0,5.0,9.4645414352417
-5.215e-06,-1.205e-07,6.0,6.0,11.28864574432373
-4.9495e-06,-4.14e-07,6.999,7.0,13.115750074386597
-4.677e-06,-1.005e-06,7.9995,8.0,14.937854528427124
-4.521e-06,-2.005e-07,9.001,9.0,16.74395775794983
-4.9905e-06,-5.345e-07,9.9995,10.0,18.572062253952026
-4.179e-06,-4.62e-07,10.9995,11.0,20.39116621017456
-4.583e-06,-3.725e-07,11.9995,12.0,22.216270685195923
-4.088e-06,1.11e-07,12.9995,13.0,24.040374994277954
-4.3305e-06,-6.32e-07,14.0,14.0,25.864479303359985
-4.1795e-06,-7.89e-07,14.9995,15.0,27.688583612442017
-3.743e-06,-4.865e-07,16.0015,16.0,29.512688159942627
-3.7625e-06,-7.81e-07,17.001,17.0,31.339792728424072
-3.588e-06,-1.345e-07,17.999,18.0,33.15989661216736
-3.486e-06,-4.24e-07,18.9995,19.0,34.98400115966797
-3.638e-06,-4.725e-07,19.9995,20.0,36.78910422325134
-3.6435e-06,-2.565e-07,20.999,21.0,38.613208532333374
-3.621e-06,-6.57e-07,21.9995,22.0,40.437312841415405
-3.1135e-06,-3.64e-07,22.999,23.0,42.26141715049744
-2.884e-06,-1.29e-07,23.9995,24.0,44.084521532058716
-3.047e-06,-4.48e-07,24.999,25.0,45.90862584114075
-2.641e-06,-6.505e-07,25.9995,26.0,47.73273015022278
-2.6635e-06,-5.525e-07,26.9995,27.0,49.55683422088623
-2.489e-06,-3.285e-07,27.9995,28.0,51.363937854766846
-2.1945e-06,1.585e-07,28.9995,29.0,53.16804099082947
-2.0495e-06,-5.59e-07,29.999,30.0,54.99214553833008
-1.9075e-06,-2.665e-07,30.9995,31.0,56.799248695373535
-1.7305e-06,-3.525e-07,32.0,32.0,58.62135291099548
-1.5015e-06,-3.49e-07,32.9995,33.0,60.445457220077515
-1.5615e-06,-7.025e-07,33.9995,34.0,62.269561529159546
-1.28e-06,-2.815e-07,34.9995,35.0,64.09266591072083
-9.62e-07,-3.51e-07,35.9995,36.0,65.91677021980286
-1.0265e-06,-7.85e-08,36.9995,37.0,67.74087452888489
-9.95e-07,-1.3e-07,37.9995,38.0,69.54597783088684
-7.12e-07,-2.78e-07,38.999,39.0,71.3530809879303
-6.855e-07,-1.155e-07,39.9995,40.0,73.17518544197083
-7.6e-08,-2.375e-07,40.999,41.0,74.99928951263428
-3.46e-07,-3.88e-07,41.9995,42.0,76.82339406013489
5.19e-07,-1.495e-07,42.9995,43.0,78.64749836921692
2.46e-07,-4.65e-08,43.9995,44.0,80.47160267829895
4e-07,1.435e-07,44.9995,45.0,82.29570722579956
5.985e-07,-2.095e-07,45.9995,46.0,84.11881136894226
1.0675e-06,-3.98e-07,46.999,47.0,85.94291567802429
9.075e-07,2.25e-08,47.9995,48.0,87.7540192604065
1.0255e-06,-5.2e-07,48.999,49.0,89.57312345504761
1.147e-06,-4.32e-07,49.9995,50.0,91.39822769165039
1.4105e-06,-3.825e-07,50.9995,51.0,93.22133207321167
1.396e-06,6.35e-08,51.9995,52.0,95.04543614387512
1.267e-06,-3.24e-07,53.0,53.0,96.86954069137573
1.4555e-06,-2.505e-07,53.9995,54.0,98.69564485549927
2.333e-06,-3.13e-07,54.9995,55.0,100.5177493095398
1.5175e-06,2.115e-07,55.9995,56.0,102.32285261154175
1.861e-06,-2.52e-07,56.9995,57.0,104.12695574760437
2.1975e-06,-5.55e-08,57.9995,58.0,105.9340591430664
3.111e-06,3.5e-09,58.9995,59.0,107.75616335868835
2.844e-06,2.02e-07,60.002,60.0,109.5802674293518
2.5755e-06,-1.965e-07,60.9995,61.0,111.40437197685242
3.114e-06,7.65e-08,61.999,62.0,113.22847652435303
2.932e-06,1.8e-07,62.999,63.0,115.05458068847656
3.033e-06,-1.305e-07,63.9995,64.0,116.87768507003784
3.3245e-06,2.625e-07,65.0,65.0,118.70178937911987
3.4505e-06,-1.7e-07,65.9995,66.0,120.5258936882019
3.387e-06,-2.295e-07,66.999,67.0,122.3489978313446
3.666e-06,1.75e-07,67.9995,68.0,124.17310237884521
3.501e-06,-4.025e-07,68.9995,69.0,125.99720644950867
3.8745e-06,1.935e-07,69.9995,70.0,127.82231092453003
3.7095e-06,-3.805e-07,70.9995,71.0,129.6454155445099
3.6975e-06,-2e-08,71.9995,72.0,131.4515187740326
3.828e-06,7.41e-07,72.999,73.0,133.2746226787567
3.8085e-06,-2.9e-07,73.9995,74.0,135.09872722625732
3.724e-06,3.1e-08,74.999,75.0,136.92283153533936
4.535e-06,-1.095e-07,75.999,76.0,138.7469358444214
4.3435e-06,-8.95e-08,76.9995,77.0,140.571040391922
4.2015e-06,-4.155e-07,77.999,78.0,142.37614345550537
4.7015e-06,-3.97e-07,78.999,79.0,144.18224668502808
4.248e-06,1.1e-07,79.9995,80.0,146.00535082817078
4.4605e-06,-1.54e-07,80.9995,81.0,147.81145429611206
4.3335e-06,1.535e-07,81.999,82.0,149.6355586051941
4.6025e-06,-1.925e-07,82.9995,83.0,151.44366216659546
4.4985e-06,4.4e-07,83.9995,84.0,153.2677664756775
4.475e-06,1.795e-07,85.0,85.0,155.09187078475952
4.358e-06,1.12e-07,85.9995,86.0,156.91597485542297
4.555e-06,1.05e-07,86.9995,87.0,158.73907947540283
4.32e-06,2.335e-07,88.0005,88.0,160.54518270492554
4.2765e-06,-2.45e-08,89.0,89.0,162.36928701400757
4.4895e-06,-2.33e-07,89.9995,90.0,164.19439125061035
4.183e-06,-1.235e-07,90.9995,91.0,166.02049589157104
4.2875e-06,5.025e-07,91.9995,92.0,167.84460020065308
4.564e-06,1.68e-07,92.9995,93.0,169.6707046031952
4.0745e-06,5.8e-08,93.999,94.0,171.49480891227722
4.022e-06,-4.16e-07,94.9995,95.0,173.31991314888
4.2845e-06,1.05e-08,95.9995,96.0,175.14201760292053
4.226e-06,9.2e-08,96.9995,97.0,176.96612167358398
4.053e-06,1.45e-07,97.9995,98.0,178.79222631454468
3.695e-06,-1.1e-08,98.9995,99.0,180.61533069610596
3.985e-06,-2.725e-07,99.9995,100.0,182.44143509864807
3.78e-06,1.965e-07,100.9995,101.0,184.26453948020935
3.569e-06,-6.8e-08,101.999,102.0,186.0886435508728
3.965e-06,-9.35e-08,102.9995,103.0,187.91174793243408
3.7835e-06,3.515e-07,103.9995,104.0,189.7358522415161
3.2625e-06,-1.31e-07,105.0,105.0,191.55995678901672
3.359e-06,-1.335e-07,105.9995,106.0,193.38406085968018
3.265e-06,-1.75e-07,106.999,107.0,195.20916533470154
3.367e-06,-1.42e-07,107.999,108.0,197.0142683982849
3.016e-06,-2.955e-07,109.0,109.0,198.83837294578552
3.1355e-06,-4.995e-07,109.9995,110.0,200.64447617530823
2.681e-06,3.655e-07,110.999,111.0,202.46758031845093
2.682e-06,2.32e-07,112.0,112.0,204.29168486595154
2.7045e-06,-2.905e-07,112.999,113.0,206.11578917503357
2.5515e-06,-6.5e-09,113.999,114.0,207.9398934841156
2.3295e-06,-2.775e-07,114.999,115.0,209.76299786567688
2.251e-06,-3.525e-07,115.999,116.0,211.58710193634033
2.387e-06,-5e-08,116.9995,117.0,213.41120648384094
1.914e-06,-3.455e-07,117.999,118.0,215.2353105545044
1.6435e-06,5.6e-08,118.9995,119.0,217.06041526794434
1.162e-06,1.905e-07,119.9995,120.0,218.8845193386078
1.13e-06,-5.8e-08,120.9995,121.0,220.7086238861084
1.3155e-06,-2.9e-08,121.9995,122.0,222.53272819519043
1.102e-06,-1.865e-07,122.9995,123.0,224.35683250427246
1.014e-06,7.3e-08,123.9995,124.0,226.1809368133545
6.315e-07,-1.585e-07,124.9995,125.0,228.0040409564972
5.345e-07,-5.35e-08,125.9995,126.0,229.8281455039978
4.94e-07,-4.475e-07,126.999,127.0,231.6342487335205
2.805e-07,-2.095e-07,127.9995,128.0,233.43835186958313
-4e-09,-3.08e-07,128.9995,129.0,235.24345517158508
