#Procedure: <daedalus.procedures.STFMRProcedure.STFMRProcedure>
#Parameters:
#	Magnet Calibration Filename: ./calibrations/icarus
#	DC Bias Current: 0 A
#	Delay: 0.3 s
#	Magnetic Field Azimuthal Angle: 45 deg
#	Magnetic Field Polar Angle: 0 deg
#	End Magnetic Field: 0.2 T
#	Start Magnetic Field: 0 T
#	Magnetic Field Step: 0.0005 T
#	Swap Field: True
#	Time Queued: 09:13am 2019-07-04
#	RF Frequency: 7 GHz
#	RF Power: 15 dBmW
#	Sample Name: test
#	Lockin Sensitivity: 5e-06 V
#	Probe Station Name: Icarus
#	Lockin Time Constant: 0.1 s
#	Use Bias Current: False
#Data:
X,Y,field_strength,elapsed_time
8.555e-07,-3.63e-07,0.2,6.170008420944214
1.642e-06,-7e-07,0.1995,6.790009498596191
-6.95e-08,-1.063e-06,0.199,7.400010108947754
3.235e-07,-3.51e-07,0.1985,8.000011205673218
1.1265e-06,-1.1975e-06,0.198,8.620012044906616
7.005e-07,-1.18e-07,0.1975,9.230012893676758
2.086e-06,-9.745e-07,0.197,9.850013732910156
4.76e-07,-5.55e-08,0.1965,10.490014791488647
9.755e-07,3.365e-07,0.196,11.110015392303467
9.095e-07,-3.3e-07,0.1955,11.61604356765747
1.2335e-06,-5.415e-07,0.195,12.129072666168213
1.009e-06,-7.2e-07,0.1945,12.626101016998291
1.0295e-06,-6.46e-07,0.194,13.145130634307861
8.605e-07,-1.445e-06,0.1935,13.64415955543518
5.62e-07,-8.08e-07,0.193,14.166189193725586
1.1015e-06,-8.08e-07,0.1925,14.675218105316162
1.368e-06,-8.545e-07,0.192,15.18024730682373
1.58e-07,-1.085e-07,0.1915,15.691276550292969
5.17e-07,9.4e-08,0.191,16.187304735183716
7.935e-07,-8.11e-07,0.1905,16.693333625793457
1.12e-06,-1.164e-06,0.19,17.205363273620605
6.645e-07,1.91e-07,0.1895,17.70039129257202
1.8255e-06,1.32e-07,0.189,18.214420795440674
1.3005e-06,-3e-09,0.1885,18.722449779510498
8.895e-07,-1.459e-06,0.188,19.224478483200073
1.0545e-06,-8.25e-08,0.1875,19.723507165908813
8.72e-07,-7.62e-07,0.187,20.23953652381897
1.1755e-06,-3.81e-07,0.1865,20.753566026687622
