#Procedure: <daedalus.procedures.STFMRProcedure.STFMRProcedure>
#Parameters:
#	Magnet Calibration Filename: ./calibrations/icarus
#	DC Bias Current: 0 A
#	Delay: 0.3 s
#	Magnetic Field Azimuthal Angle: 45 deg
#	Magnetic Field Polar Angle: 0 deg
#	End Magnetic Field: 0.2 T
#	Start Magnetic Field: 0 T
#	Magnetic Field Step: 0.0005 T
#	Swap Field: False
#	Time Queued: 10:28am 2019-07-04
#	RF Frequency: 6 GHz
#	RF Power: 25 dBmW
#	Sample Name: CE6_C3
#	Lockin Sensitivity: 5e-06 V
#	Probe Station Name: Icarus
#	Lockin Time Constant: 0.1 s
#	Use Bias Current: False
#Data:
X,Y,field_strength,elapsed_time
1.09e-06,-2.879e-06,0.2,3.117178201675415
1.373e-06,-3.68e-06,0.1995,3.573204278945923
1.165e-07,-2.6175e-06,0.199,4.044231414794922
9.56e-07,-2.569e-06,0.1985,4.4862565994262695
8.465e-07,-2.559e-06,0.198,4.935281991958618
6.01e-07,-2.316e-06,0.1975,5.395308494567871
5.795e-07,-1.985e-06,0.197,5.865335464477539
1.272e-06,-3.1185e-06,0.1965,6.32336163520813
1.325e-06,-4.024e-06,0.196,6.784388065338135
1.138e-06,-2.8655e-06,0.1955,7.246414422988892
1.255e-06,-3.1005e-06,0.195,7.7134411334991455
1.0245e-06,-2.697e-06,0.1945,8.157466411590576
1.416e-06,-2.8035e-06,0.194,8.612492561340332
1.807e-06,-3.012e-06,0.1935,9.081519603729248
1.725e-06,-2.8155e-06,0.193,9.545545816421509
1.015e-06,-3.369e-06,0.1925,9.994571685791016
1.0875e-06,-1.7255e-06,0.192,10.472599029541016
1.88e-06,-2.572e-06,0.1915,10.947626113891602
9.39e-07,-2.33e-06,0.191,11.39665174484253
1.297e-06,-3.081e-06,0.1905,11.851677894592285
1.6025e-06,-1.8495e-06,0.19,12.315704584121704
9.345e-07,-3.229e-06,0.1895,12.766730070114136
1.476e-06,-3.179e-06,0.189,13.21375584602356
8.95e-07,-1.8575e-06,0.1885,13.67878246307373
2.0855e-06,-1.926e-06,0.188,14.14280891418457
5.405e-07,-2.7695e-06,0.1875,14.614835977554321
8.99e-07,-2.9945e-06,0.187,15.065861701965332
1.0605e-06,-2.9915e-06,0.1865,15.524888038635254
6.385e-07,-1.9565e-06,0.186,15.987914323806763
1.361e-06,-2.3985e-06,0.1855,16.445940732955933
1.381e-06,-2.5835e-06,0.185,16.895966291427612
2.7505e-06,-2.453e-06,0.1845,17.360992908477783
1.5515e-06,-3.996e-06,0.184,17.822019338607788
1.548e-06,-2.132e-06,0.1835,18.282045602798462
2.0505e-06,-2.741e-06,0.183,18.73307156562805
1.0225e-06,-1.8815e-06,0.1825,19.198098182678223
1.8435e-06,-2.178e-06,0.182,19.67512536048889
1.6485e-06,-2.8815e-06,0.1815,20.11015033721924
1.5995e-06,-2.9285e-06,0.181,20.559175729751587
1.731e-06,-2.003e-06,0.1805,21.023202419281006
1.1915e-06,-2.726e-06,0.18,21.49722957611084
1.6855e-06,-3.6695e-06,0.1795,21.94125485420227
1.46e-07,-2.4235e-06,0.179,22.39128088951111
2.166e-06,-4.04e-06,0.1785,22.85030698776245
1.214e-06,-2.8465e-06,0.178,23.32033371925354
2.5075e-06,-2.9205e-06,0.1775,23.769359588623047
1.0415e-06,-2.6555e-06,0.177,24.237386226654053
-1.7e-08,-1.666e-06,0.1765,24.71441340446472
1.202e-06,-2.537e-06,0.176,25.250444173812866
1.43e-06,-2.3845e-06,0.17550000000000002,25.72347116470337
1.514e-06,-2.119e-06,0.17500000000000002,26.192497968673706
1.549e-06,-2.18e-06,0.17450000000000002,26.6385235786438
9.685e-07,-2.4295e-06,0.17400000000000002,27.108550548553467
