#Procedure: <daedalus.procedures.AMRProcedure.AMRAngProcedure>
#Parameters:
#	Applied Sample Voltage: 0.1 V
#	Magnet Calibration Filename: ./calibrations/icarus
#	Delay: 0.15 s
#	End Azimuthal Field: 176 deg
#	Start Azimuthal Field: 0 deg
#	Azimuthal Field Step: 5 deg
#	Magnetic Field Polar Angle: 0 deg
#	Field Strength: 0.05 T
#	Time Queued: 12:25pm 2019-07-04
#	Sample Name: CE6_STFMRC3
#	Lockin Sensitivity: 2e-05 V
#	Probe Station Name: Icarus
#	Lockin Time Constant: 0.05 s
#	Wheatstone R1 Fixed Resistance: 3880 Ohm
#	Wheatstone R2 Variable Resistance: 234.51 Ohm
#	Wheatstone R3 Fixed Resistance: 3960 Ohm
#Data:
X,Y,field_azimuth_measured,field_azimuth,elapsed_time
-4.0722e-05,9.788e-06,0.0,0.0,0.4260084629058838
-3.9688e-05,8.874e-06,5.01,5.0,4.884263515472412
-3.9752e-05,7.362e-06,10.01,10.0,9.361519813537598
-3.6786e-05,9.372e-06,15.01,15.0,13.850776433944702
-3.5112e-05,1.1332e-05,20.009,20.0,18.406036853790283
-3.4054e-05,8.374e-06,25.008,25.0,22.95829749107361
-3.5854e-05,7.594e-06,30.008,30.0,27.511557817459106
-3.3092e-05,9.326e-06,35.009,35.0,32.058817863464355
-2.9378e-05,8.154e-06,40.01,40.0,36.60207772254944
-2.5714e-05,9.322e-06,45.01,45.0,41.065332889556885
-1.838e-05,1.1368e-05,50.01,50.0,45.61659336090088
-1.4698e-05,9.91e-06,55.009,55.0,50.167853593826294
-1.0888e-05,1.1584e-05,60.01,60.0,54.723114252090454
-7.22e-06,1.2246e-05,65.009,65.0,59.21137094497681
-6.738e-06,1.113e-05,70.01,70.0,63.668625831604004
-5.906e-06,1.046e-05,75.009,75.0,68.21088576316833
-5.758e-06,1.2432e-05,80.01,80.0,72.74814534187317
-6.07e-06,1.143e-05,85.009,85.0,77.28640484809875
-4.88e-06,1.0612e-05,90.008,90.0,81.84666562080383
-6.378e-06,1.1166e-05,95.009,95.0,86.36592411994934
-5.608e-06,1.1234e-05,100.01,100.0,90.90418362617493
-9.598e-06,1.1618e-05,105.009,105.0,95.36743903160095
-1.0904e-05,1.0616e-05,110.009,110.0,99.86669635772705
-1.4568e-05,1.0182e-05,115.01,115.0,104.4089560508728
-1.5518e-05,1.0152e-05,120.009,120.0,108.96521663665771
-2.167e-05,1.1444e-05,125.009,125.0,113.51847720146179
-2.6254e-05,9.676e-06,130.008,130.0,118.06673741340637
-3.158e-05,9.17e-06,135.01,135.0,122.58699584007263
-3.6966e-05,8.87e-06,140.009,140.0,127.13525605201721
-3.9316e-05,9.746e-06,145.009,145.0,131.68451595306396
-4.2002e-05,9.33e-06,150.009,150.0,136.24077653884888
-4.5858e-05,7.154e-06,155.009,155.0,140.7900369167328
-4.9192e-05,7.95e-06,160.009,160.0,145.27629351615906
-4.7408e-05,9.178e-06,165.009,165.0,149.744549036026
-5.0162e-05,6.772e-06,170.008,170.0,154.29280948638916
-5.054e-05,7.316e-06,172.404,175.0,156.62294268608093
-5.2212e-05,6.448e-06,172.39,176.0,156.94796109199524
