#Procedure: <daedalus.procedures.AMRProcedure.AMRAngProcedure>
#Parameters:
#	Applied Sample Voltage: 0.1 V
#	Magnet Calibration Filename: ./calibrations/icarus
#	Delay: 0.3 s
#	End Azimuthal Field: 176 deg
#	Start Azimuthal Field: -173 deg
#	Azimuthal Field Step: 1 deg
#	Magnetic Field Polar Angle: 0 deg
#	Field Strength: 0.2 T
#	Time Queued: 12:40pm 2019-07-04
#	Sample Name: CE6_STFMRC3
#	Lockin Sensitivity: 2e-05 V
#	Probe Station Name: Icarus
#	Lockin Time Constant: 0.1 s
#	Wheatstone R1 Fixed Resistance: 3880 Ohm
#	Wheatstone R2 Variable Resistance: 234.51 Ohm
#	Wheatstone R3 Fixed Resistance: 3960 Ohm
#Data:
X,Y,field_azimuth_measured,field_azimuth,elapsed_time
-6e-05,7.882e-06,-173.009,-173.0,276.9803876876831
-6e-05,7.956e-06,-171.992,-172.0,278.4403898715973
-6e-05,9.044e-06,-170.991,-171.0,279.89039182662964
-6e-05,8.408e-06,-169.992,-170.0,281.3603940010071
-6e-05,8.748e-06,-168.992,-169.0,282.78447365760803
-5.943e-05,7.378e-06,-167.99,-168.0,284.1975543498993
-5.9968e-05,7.252e-06,-166.991,-167.0,285.6166355609894
-5.8874e-05,7.412e-06,-165.992,-166.0,287.13572239875793
-5.9082e-05,8.012e-06,-164.991,-165.0,288.55880403518677
-5.845e-05,7.706e-06,-163.99,-164.0,289.9938859939575
-5.8808e-05,8.63e-06,-162.991,-163.0,291.42696809768677
-5.7178e-05,8.542e-06,-161.991,-162.0,292.8590500354767
-5.671e-05,8.198e-06,-160.991,-161.0,294.2981321811676
-5.7742e-05,7.76e-06,-159.99,-160.0,295.7232139110565
-5.5828e-05,7.7e-06,-158.992,-159.0,297.15029525756836
-5.5016e-05,6.38e-06,-157.991,-158.0,298.6573815345764
-5.4804e-05,9.324e-06,-156.991,-157.0,300.06546211242676
-5.4858e-05,8.574e-06,-155.99,-156.0,301.4825429916382
-5.317e-05,8.462e-06,-154.991,-155.0,302.89662408828735
-5.289e-05,8.344e-06,-153.991,-154.0,304.30870485305786
-5.2248e-05,8.216e-06,-152.991,-153.0,305.7267858982086
-5.121e-05,8.82e-06,-151.99,-152.0,307.14186668395996
-5.1928e-05,8.986e-06,-150.991,-151.0,308.56094789505005
-5.0266e-05,7.676e-06,-149.991,-150.0,309.9820291996002
-4.9842e-05,8.562e-06,-148.991,-149.0,311.3961100578308
-4.9496e-05,8.54e-06,-147.99,-148.0,312.8221917152405
-4.7332e-05,7.044e-06,-146.991,-147.0,314.24827337265015
-4.6872e-05,7.694e-06,-145.991,-146.0,315.658353805542
-4.859e-05,8e-06,-144.991,-145.0,317.0704348087311
-4.6898e-05,8.442e-06,-143.99,-144.0,318.48651576042175
-4.556e-05,8.864e-06,-142.991,-143.0,319.9015967845917
-4.3964e-05,8.056e-06,-141.991,-142.0,321.3186776638031
-4.464e-05,8.064e-06,-140.991,-141.0,322.7307584285736
-4.2298e-05,8.78e-06,-139.99,-140.0,324.16084027290344
-4.1844e-05,9.028e-06,-138.992,-139.0,325.58092164993286
-4.1936e-05,9.744e-06,-137.991,-138.0,327.00000262260437
-4.021e-05,8.886e-06,-136.991,-137.0,328.42108392715454
-3.9238e-05,8.202e-06,-135.99,-136.0,329.84016513824463
-3.912e-05,9.552e-06,-134.991,-135.0,331.26524662971497
