#Procedure: <daedalus.procedures.STFMRProcedure.STFMRProcedure>
#Parameters:
#	Magnet Calibration Filename: ./calibrations/icarus
#	DC Bias Current: 0 A
#	Delay: 0.3 s
#	Magnetic Field Azimuthal Angle: 45 deg
#	Magnetic Field Polar Angle: 0 deg
#	End Magnetic Field: 0.2 T
#	Start Magnetic Field: 0 T
#	Magnetic Field Step: 0.0005 T
#	Swap Field: True
#	Gain: 40 dB
#	Time Queued: 11:16am 2019-07-04
#	RF Frequency: 9 GHz
#	RF Power: 23 dBmW
#	Sample Name: CE6_STFMRC3
#	Lockin Sensitivity: 5e-06 V
#	Probe Station Name: Icarus
#	Lockin Time Constant: 0.1 s
#	Use Bias Current: False
#Data:
X,Y,field_strength,elapsed_time
-4.0985e-06,-7.0655e-06,0.2,4.690006732940674
-4.0975e-06,-7.0685e-06,0.1995,5.210007429122925
-4.106e-06,-7.068e-06,0.199,5.730008125305176
-4.0995e-06,-7.0835e-06,0.1985,6.2600109577178955
-4.0925e-06,-7.0735e-06,0.198,6.78001594543457
-4.097e-06,-7.0495e-06,0.1975,7.303035259246826
-4.092e-06,-7.054e-06,0.197,7.752060651779175
-4.1235e-06,-7.0405e-06,0.1965,8.200083494186401
-4.095e-06,-7.0505e-06,0.196,8.68710708618164
-4.093e-06,-7.0435e-06,0.1955,9.133131265640259
-4.0925e-06,-7.0415e-06,0.195,9.588140487670898
-4.069e-06,-7.057e-06,0.1945,10.122151613235474
-4.068e-06,-7.071e-06,0.194,10.572169542312622
-4.0725e-06,-7.013e-06,0.1935,11.10518217086792
-4.0655e-06,-7.055e-06,0.193,11.560201406478882
-4.0725e-06,-7.0325e-06,0.1925,12.090202331542969
-4.081e-06,-7.0525e-06,0.192,12.620203018188477
-4.056e-06,-7.05e-06,0.1915,13.150203704833984
-4.063e-06,-7.0515e-06,0.191,13.680204629898071
-4.0385e-06,-7.06e-06,0.1905,14.200205326080322
-4.012e-06,-7.0375e-06,0.19,14.720206022262573
-4.0065e-06,-7.0325e-06,0.1895,15.250206708908081
-4.013e-06,-7.0265e-06,0.189,15.780207395553589
-3.9925e-06,-7.025e-06,0.1885,16.310208320617676
-3.992e-06,-7.0325e-06,0.188,16.830208778381348
-3.991e-06,-7.047e-06,0.1875,17.3502094745636
-4.009e-06,-7.0485e-06,0.187,17.87021040916443
-3.961e-06,-7.048e-06,0.1865,18.400211095809937
-3.9745e-06,-7.047e-06,0.186,18.930211782455444
-3.984e-06,-7.059e-06,0.1855,19.470212697982788
-3.9965e-06,-7.0395e-06,0.185,20.000213384628296
-3.98e-06,-7.0245e-06,0.1845,20.520214080810547
-3.9525e-06,-7.049e-06,0.184,21.040214776992798
-3.973e-06,-7.0575e-06,0.1835,21.570215702056885
-3.9615e-06,-7.0755e-06,0.183,22.103219270706177
-3.9575e-06,-7.0795e-06,0.1825,22.546244621276855
-3.967e-06,-7.0515e-06,0.182,22.997266054153442
-3.934e-06,-7.063e-06,0.1815,23.52726650238037
-3.967e-06,-7.0545e-06,0.181,24.057267427444458
-3.9295e-06,-7.0685e-06,0.1805,24.587268114089966
-3.954e-06,-7.0715e-06,0.18,25.107268810272217
-3.955e-06,-7.073e-06,0.1795,25.627269744873047
-3.9655e-06,-7.086e-06,0.179,26.157270431518555
-3.933e-06,-7.0715e-06,0.1785,26.687271118164062
-3.9665e-06,-7.0935e-06,0.178,27.21727180480957
-3.944e-06,-7.0695e-06,0.1775,27.73727250099182
-3.9105e-06,-7.091e-06,0.177,28.25727343559265
-3.956e-06,-7.078e-06,0.1765,28.767274141311646
-3.898e-06,-7.1e-06,0.176,29.297274827957153
-3.8965e-06,-7.1015e-06,0.17550000000000002,29.82727551460266
-3.931e-06,-7.0825e-06,0.17500000000000002,30.35727620124817
-3.936e-06,-7.0935e-06,0.17450000000000002,30.87727689743042
-3.901e-06,-7.105e-06,0.17400000000000002,31.407277584075928
-3.885e-06,-7.1335e-06,0.17350000000000002,31.92727828025818
-3.9215e-06,-7.116e-06,0.17300000000000001,32.457279205322266
-3.9335e-06,-7.106e-06,0.17250000000000001,32.99429535865784
-3.8875e-06,-7.1365e-06,0.17200000000000001,33.44932150840759
-3.895e-06,-7.141e-06,0.1715,33.91034770011902
-3.885e-06,-7.127e-06,0.171,34.36835837364197
-3.895e-06,-7.1095e-06,0.1705,34.82738471031189
-3.9095e-06,-7.1115e-06,0.17,35.30140447616577
-3.8615e-06,-7.129e-06,0.1695,35.760430574417114
-3.927e-06,-7.1385e-06,0.169,36.211456537246704
-3.889e-06,-7.1215e-06,0.1685,36.73845815658569
-3.878e-06,-7.127e-06,0.168,37.27845883369446
-3.886e-06,-7.119e-06,0.1675,37.808459758758545
-3.889e-06,-7.1095e-06,0.167,38.33846044540405
-3.8935e-06,-7.0995e-06,0.1665,38.86846113204956
-3.897e-06,-7.1075e-06,0.166,39.39846205711365
-3.89e-06,-7.1055e-06,0.1655,39.928462743759155
-3.8785e-06,-7.0945e-06,0.165,40.458463191986084
-3.8645e-06,-7.114e-06,0.1645,40.99846434593201
-3.854e-06,-7.109e-06,0.164,41.528465032577515
-3.864e-06,-7.0805e-06,0.1635,42.048465728759766
-3.8435e-06,-7.096e-06,0.163,42.58846640586853
-3.8575e-06,-7.1055e-06,0.1625,43.11846709251404
-3.8625e-06,-7.0755e-06,0.162,43.648468017578125
-3.834e-06,-7.078e-06,0.1615,44.18846869468689
-3.835e-06,-7.1035e-06,0.161,44.7184693813324
-3.866e-06,-7.0715e-06,0.1605,45.25847029685974
-3.8405e-06,-7.101e-06,0.16,45.798470973968506
-3.806e-06,-7.091e-06,0.1595,46.328471660614014
-3.7925e-06,-7.0885e-06,0.159,46.86847233772278
-3.7865e-06,-7.091e-06,0.1585,47.40847301483154
-3.8125e-06,-7.0885e-06,0.158,47.94847393035889
-3.7915e-06,-7.0875e-06,0.1575,48.478474855422974
-3.784e-06,-7.1035e-06,0.157,49.00847554206848
-3.791e-06,-7.0755e-06,0.1565,49.548476219177246
-3.7555e-06,-7.0635e-06,0.156,50.078476905822754
-3.7585e-06,-7.0845e-06,0.1555,50.60847759246826
-3.755e-06,-7.074e-06,0.155,51.15847826004028
-3.7445e-06,-7.0725e-06,0.1545,51.69847917556763
-3.748e-06,-7.0705e-06,0.154,52.228479862213135
-3.705e-06,-7.091e-06,0.1535,52.76848077774048
-3.6885e-06,-7.0765e-06,0.153,53.3184814453125
-3.715e-06,-7.0575e-06,0.1525,53.84848213195801
-3.7105e-06,-7.0855e-06,0.152,54.378483057022095
-3.687e-06,-7.078e-06,0.1515,54.9084837436676
-3.6965e-06,-7.069e-06,0.151,55.44848442077637
-3.6705e-06,-7.0685e-06,0.1505,55.978485345840454
-3.6425e-06,-7.085e-06,0.15,56.528486013412476
-3.6065e-06,-7.1035e-06,0.1495,57.06848669052124
-3.588e-06,-7.0975e-06,0.149,57.608487367630005
-3.6275e-06,-7.103e-06,0.1485,58.13848805427551
-3.5745e-06,-7.097e-06,0.148,58.65848898887634
-3.5865e-06,-7.0905e-06,0.1475,59.18848967552185
-3.576e-06,-7.114e-06,0.147,59.728490352630615
-3.5545e-06,-7.12e-06,0.1465,60.2584912776947
-3.5275e-06,-7.1355e-06,0.146,60.79849195480347
-3.537e-06,-7.1245e-06,0.1455,61.31849265098572
-3.519e-06,-7.131e-06,0.145,61.85849356651306
-3.5035e-06,-7.1265e-06,0.1445,62.40549564361572
